participant_number,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_correct_answer,trial_1_response,trial_1_score,trial_2,trial_2_correct_answer,trial_2_response,trial_2_score,trial_3,trial_3_correct_answer,trial_3_response,trial_3_score,trial_4,trial_4_correct_answer,trial_4_response,trial_4_score,control_trial,control_trial_correct_answer,control_trial_response,control_trial_score,total_score,notes,exclude,exclude_reason,notes,include,race(will fill out later)
31,6/19/2023,Grannys_Gratitude_Stickers_20230619_3_Lookit_SZ,140052,19204788-e252-4bc5-8ce1-c2cdd09d3a92,1461-1826,1470,4.03,male,en ko,benji,harry,leo_correct_right_sara,leo,leo,1,zoey_correct_left_taylor,zoey,zoey,1,andy_correct_right_emily,andy,emily,0,olivia_correct_left_mason,olivia,mason,0,vicky_correct_left,vicky,vicky,1,2,,,,,,
32,6/22/2023,Grannys_Gratitude_Stickers_20230622_2_Lookit_SZ,140680,00e13256-0ecb-40bb-94c1-863908a7c1ec,1461-1826,1470,4.03,female,en,benji,harry,sara_correct_left_leo,sara,leo,0,emily_correct_left_andy,emily,emiliy,1,mason_correct_right_olivia,mason,olivia,0,taylor_correct_right_zoey,taylor,zoey,0,michael_correct_left,michael,vicky,0,1,,,,,,
33,6/30/2023,Grannys_Gratitude_Stickers_20230630_4_Lookit_SZ,142179,cc196c61-2b0c-4542-a3f8-324ed636efcd,1461-1826,1500,4.11,male,en,benji,harry,andy_correct_left_emily,andy,emily who caught the egg,1,zoey_correct_right_taylor,zoey,zoey who caught the phone,1,leo_correct_left_sara,leo,leo who caught the toy bear,0,olivia_correct_right_mason,olivia,olivia who caught the ice cream,1,vicky_correct_left,vicky,vicky,1,3,,,,,,
34,7/16/2023,Grannys_Gratitude_Stickers_20230716_3_Lookit_SZ,144140,767c26d3-eba7-4039-b208-8a465fc5955b,1461-1826,1710,4.68,female,en cmn,benji,harry,sara_correct_right_leo,sara,sara,1,mason_correct_left_olivia,mason,olivia,0,taylor_correct_left_zoey,taylor,taylor,1,emily_correct_right_andy,emily,emily,1,michael_correct_left,michael,michael,1,3,,,,,,
35,7/16/2023,Grannys_Gratitude_Stickers_20230716_9_Lookit_SZ,144206,ea8687c3-2806-4c84-9b9f-0c249e222c8e,1461-1826,1710,4.68,female,en ,benji,harry,mason_correct_right_olivia,mason,olivia,0,emily_correct_left_andy,emily,egg,1,sara_correct_left_leo,sara,sara,1,taylor_correct_right_zoey,taylor,taylor,1,michael_correct_left,michael,michael,1,3,,,,,,
36,7/16/2023,Grannys_Gratitude_Stickers_20230716_11_Lookit_SZ,144213,f982251a-5cae-40d6-a084-fcc64a16c708,1461-1826,1650,4.52,female,en ,benji,harry,leo_correct_right_sara,leo,teddy bear,0,zoey_correct_left_taylor,zoey,the ducky,0,andy_correct_right_emily,andy,the egg,1,olivia_correct_left_mason,olivia,ice cream,1,vicky_correct_left,vicky,michael,0,2,,,,,,
37,7/16/2023,Grannys_Gratitude_Stickers_20230716_12_Lookit_SZ,144216,08d587c2-b3f1-4342-ae9e-e7d3bad4cd87,1461-1826,1800,4.93,male,en,benji,harry,olivia_correct_left_mason,olivia,ice cream,1,zoey_correct_left_taylor,zoey,zoey,1,leo_correct_right_sara,leo,the vase,1,andy_correct_right_emily,andy,egg,1,michael_correct_left,michael,the one who got more,1,4,,,,,,
38,7/17/2023,Grannys_Gratitude_Stickers_20230717_5_Lookit_SZ,144296,bda07f27-6948-4465-b873-4388179b9ea2,1461-1826,1770,4.85,male,en,benji,harry,olivia_correct_left_mason,olivia,mason,0,leo_correct_right_sara,leo,sara,0,andy_correct_right_emily,andy,emily,0,zoey_correct_left_taylor,zoey,zoey,1,vicky_correct_left,vicky,vicky,1,1,,,,,,
39,7/17/2023,Grannys_Gratitude_Stickers_20230717_7_Lookit_SZ,144355,6143a3c1-8f13-40a2-8e65-9d9bc52721d3,1461-1826,1740,4.77,male,en so,benji,harry,zoey_correct_right_taylor,zoey,I don't know,0,andy_correct_left_emily,andy,andy,1,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,leo,1,michael_correct_left,michael,michael,1,3,,,,,,
40,7/18/2023,Grannys_Gratitude_Stickers_20230718_2_Lookit_SZ,144516,cc852cd8-3602-4d1b-85e8-ee5acd61e8cf,1461-1826,1530,4.19,female,en ,benji,harry,sara_correct_left_leo,sara,leo,0,emily_correct_left_andy,emily,emily,1,taylor_correct_right_zoey,taylor,zoey,0,mason_correct_right_olivia,mason,the sunscreen,0,vicky_correct_left,vicky,vicky,1,1,,,,,,
